126:[G, D, D, B, G, H, G, G, B, D, H, D, B, H, D, H, H, H, H, G]
740:[B, B, D, D, H, G, G, B, H, B, D, G, G, D, G, D, G, D, G, B]
837:[G, B, G, H, B, H, B, D, D, G, D, D, G, D, B, H, G, H, D, G]
820:[G, D, H, D, D, B, B, H, B, H, G, H, G, D, B, D, H, B, B, G]
973:[G, D, H, D, D, B, B, H, B, H, G, H, G, D, B, D, G, B, B, G]
569:[D, G, G, H, G, B, D, D, B, B, D, H, B, H, H, B, B, D, H, G]
754:[G, H, B, B, D, D, B, H, G, B, D, D, G, G, G, H, H, D, B, B]
111:[D, G, D, B, H, H, B, D, H, B, G, H, G, G, G, B, H, B, D, G]
23:[D, D, H, B, B, G, B, H, D, G, G, G, B, H, B, H, D, D, D, B]
794:[B, B, D, B, B, H, H, H, D, B, B, G, B, G, H, G, G, B, D, G]
320:[G, B, G, D, B, H, B, D, D, G, G, D, B, D, D, H, G, H, D, G]
980:[G, D, H, D, D, B, B, H, B, H, G, H, G, D, B, G, G, B, B, G]
366:[H, D, B, G, G, H, B, H, D, G, D, G, B, B, H, H, D, G, G, B]
840:[B, H, G, D, G, B, D, G, D, G, H, D, G, B, G, H, D, G, H, B]
378:[G, B, D, B, G, B, D, D, B, H, H, B, D, H, G, G, G, D, D, H]
763:[B, D, G, B, H, H, B, B, H, B, D, G, G, H, H, H, B, G, B, H]
577:[D, D, G, B, H, H, B, B, H, B, D, G, B, H, H, G, H, G, D, B]
845:[D, D, G, B, H, H, B, B, H, B, D, G, B, H, H, G, H, G, B, B]
819:[D, D, B, B, G, D, G, H, G, D, G, D, B, H, B, H, B, B, H, H]
613:[G, D, H, B, D, B, D, G, H, B, H, G, D, H, B, B, D, G, B, D]
523:[B, G, B, D, G, B, H, H, G, D, B, D, H, B, D, G, H, D, B, G]
540:[G, G, B, B, D, D, H, D, H, B, H, H, B, H, B, G, B, G, D, D]
361:[D, B, D, H, G, H, D, B, B, G, G, H, B, D, D, H, B, G, B, G]
470:[B, D, D, B, H, B, H, B, G, G, H, D, B, B, H, D, B, H, B, H]
133:[D, G, G, B, H, D, B, H, G, D, B, B, D, D, B, H, H, B, G, D]
302:[D, H, B, B, G, G, H, D, D, B, H, B, B, H, H, B, B, H, H, G]
375:[D, D, D, H, D, B, B, H, H, G, B, G, B, H, G, D, D, B, H, B]
359:[G, G, B, B, B, D, G, D, G, D, D, G, D, H, G, D, B, G, D, G]
718:[G, G, B, B, B, D, G, D, G, D, D, G, D, H, G, D, B, G, D, D]
97:[H, B, G, H, H, D, B, B, G, B, H, D, D, D, H, B, B, B, G, H]
412:[G, D, G, D, B, H, D, D, B, H, B, B, H, H, H, B, G, D, B, B]
86:[G, D, G, D, B, H, D, D, B, H, B, B, H, H, H, B, G, D, B, G]
123:[H, B, D, B, H, D, G, B, H, B, H, G, H, B, G, H, G, B, H, D]
526:[H, B, H, B, G, G, B, H, B, B, H, D, H, H, G, D, D, G, D, D]
688:[D, H, G, G, G, B, H, G, G, D, D, D, B, H, B, G, D, B, B, H]
205:[D, G, D, D, D, G, D, G, G, H, D, G, G, D, G, D, G, B, B, B]
401:[G, G, G, H, H, D, B, B, D, B, D, H, H, G, D, D, G, B, G, D]
591:[G, D, D, B, B, G, G, H, D, G, B, D, D, G, H, G, B, G, B, D]
646:[G, D, D, B, B, G, G, H, D, G, G, D, D, G, H, G, B, H, B, D]
723:[B, B, H, D, G, D, D, H, G, D, B, H, G, G, B, H, D, D, B, B]
758:[B, H, B, G, B, H, D, B, H, B, H, G, D, B, H, B, G, H, B, H]
880:[H, G, D, B, D, G, D, H, B, D, G, B, H, D, G, G, G, G, H, D]
116:[H, G, D, B, D, G, D, H, B, B, B, B, H, D, G, G, G, G, H, D]
587:[H, G, G, B, D, H, D, D, G, D, B, B, H, B, H, D, G, H, B, H]
926:[G, D, H, D, D, B, B, H, B, H, G, H, G, D, B, G, G, B, B, G]
382:[B, B, D, H, B, G, H, D, G, D, G, D, H, B, D, B, H, B, H, B]
553:[D, G, G, B, B, H, B, D, H, D, D, B, G, D, H, B, G, G, G, G]
931:[G, B, H, G, B, G, G, G, G, D, B, D, D, D, H, B, B, G, H, B]
235:[B, D, G, B, D, G, D, G, H, D, G, D, H, G, D, B, H, H, D, B]
370:[H, D, D, G, B, B, H, G, D, D, G, B, B, B, D, H, B, H, H, B]
43:[G, B, D, G, G, B, B, H, H, H, D, D, D, H, B, B, H, D, B, H]
534:[B, D, B, B, B, G, D, H, D, H, B, H, B, H, H, B, B, G, H, B]
618:[H, B, D, G, G, B, G, H, D, H, B, B, B, G, D, H, G, D, H, G]
76:[B, G, B, H, D, B, G, H, G, D, B, H, D, H, D, H, D, G, B, H]
738:[D, G, G, D, G, B, G, D, D, G, G, B, H, B, B, D, G, D, H, H]
425:[B, D, B, G, D, H, G, B, H, G, H, D, D, H, B, B, G, H, G, B]
56:[H, B, G, G, G, D, B, D, B, G, D, G, H, B, G, D, D, H, G, G]
161:[H, G, B, H, H, D, B, B, G, G, D, D, D, H, H, B, B, B, G, H]
792:[B, B, H, D, G, D, G, D, D, G, G, B, H, D, B, G, H, H, G, H]
532:[B, B, G, H, B, H, H, G, B, D, H, B, D, B, D, B, H, B, H, G]
620:[B, B, G, H, B, H, H, G, B, H, H, B, D, B, D, B, H, B, H, G]
772:[B, B, H, D, H, D, G, D, B, H, G, G, D, D, G, B, B, B, H, H]
296:[B, G, B, H, G, B, B, B, B, D, H, H, D, H, D, H, D, G, D, G]
284:[G, G, D, B, D, G, B, H, G, B, D, G, D, G, D, G, D, H, H, G]
548:[D, G, B, B, D, H, B, D, G, B, D, H, G, G, H, B, H, D, D, G]
765:[H, D, B, D, D, B, G, G, B, G, D, D, H, B, G, H, B, D, B, D]
666:[D, H, B, B, D, H, B, H, G, D, H, G, B, B, G, H, B, G, G, H]
481:[D, H, B, B, D, H, B, H, G, D, H, G, B, B, G, G, B, H, G, H]
588:[B, H, D, H, H, G, H, H, H, B, G, D, H, D, B, B, B, D, G, D]
624:[D, B, G, G, G, D, B, G, D, D, D, H, H, B, H, B, D, B, B, G]
355:[H, B, D, B, H, D, G, B, H, D, H, G, B, G, G, H, B, B, H, D]
852:[B, B, D, B, H, D, G, B, H, D, H, G, H, G, G, H, B, B, H, D]
903:[G, B, G, H, D, H, B, D, B, G, G, D, G, D, B, D, G, H, D, G]
648:[B, D, G, B, H, G, B, D, G, H, H, B, D, G, H, G, H, B, D, H]
958:[G, G, B, B, D, D, H, D, B, B, H, H, B, H, B, H, B, G, D, B]
46:[D, G, B, H, B, D, H, H, B, B, B, B, H, D, B, G, H, H, B, H]
238:[G, B, H, B, H, B, H, D, G, G, B, B, B, H, D, H, G, D, D, B]
937:[D, B, B, B, H, B, D, G, D, H, G, G, H, B, H, D, D, G, H, D]
866:[D, B, B, B, H, B, D, G, D, H, G, G, H, B, H, D, D, G, B, D]
167:[H, G, B, B, H, D, H, B, D, D, B, G, H, G, G, H, D, B, H, D]
706:[B, H, G, B, B, H, G, D, G, D, B, H, D, B, G, B, H, G, B, D]
938:[G, D, G, G, B, B, B, D, D, D, H, G, G, D, G, G, D, B, H, B]
15:[G, B, D, H, G, B, H, B, D, H, G, D, G, D, G, D, B, D, G, B]
27:[G, B, D, H, G, B, H, B, D, H, G, D, G, D, G, G, B, D, G, B]
35:[G, H, G, B, D, G, D, H, B, D, G, G, D, B, D, D, G, B, H, B]
480:[G, H, G, B, D, G, D, H, B, D, G, G, D, B, D, D, G, D, H, B]
968:[G, B, D, D, G, D, D, H, D, G, B, H, B, D, B, H, G, B, D, G]
421:[G, G, D, D, G, D, D, H, D, G, B, H, G, D, B, H, D, B, G, B]
374:[D, G, G, B, B, H, B, D, H, G, D, B, H, G, G, B, H, B, D, G]
890:[D, G, G, B, B, H, B, D, H, B, D, B, D, G, H, B, H, B, D, G]
568:[B, G, B, G, B, D, H, D, D, G, D, H, D, G, D, B, G, G, G, D]
603:[D, H, B, G, G, B, D, G, G, D, D, D, B, H, B, G, D, H, B, H]
101:[H, G, D, D, D, B, B, B, H, G, D, B, H, H, G, D, G, B, D, G]
270:[H, G, D, D, D, B, G, B, H, G, D, B, H, H, G, D, G, B, D, G]
1:[D, B, D, B, B, G, D, G, D, G, H, B, H, B, G, H, D, D, H, G]
65:[H, D, H, D, D, D, G, D, D, B, B, H, H, G, D, B, H, G, G, D]
88:[B, B, D, B, G, D, G, B, B, G, D, D, D, H, B, H, H, H, H, G]
203:[G, B, D, B, G, B, D, D, B, H, H, B, D, H, G, G, D, H, D, H]
943:[B, D, B, B, D, G, D, G, H, D, G, D, H, G, G, B, H, H, D, B]
193:[D, H, B, B, G, G, D, G, D, H, D, B, H, G, D, D, H, G, D, G]
74:[H, D, B, G, G, D, G, D, G, H, G, D, B, D, D, D, B, B, H, H]
780:[H, G, B, D, G, G, H, B, B, H, B, B, H, B, H, H, H, B, B, D]
901:[D, G, B, G, B, H, H, G, H, B, B, D, H, D, B, G, B, H, B, H]
77:[H, B, H, D, B, D, G, D, D, B, B, H, H, G, D, B, B, G, G, D]
82:[D, D, H, G, G, B, D, D, B, B, G, D, H, H, B, H, H, B, H, G]
390:[H, G, D, G, D, D, G, D, B, D, H, G, D, B, H, B, G, B, B, G]
946:[B, G, B, H, G, B, B, B, B, D, H, H, D, D, D, H, G, G, G, G]
612:[G, B, B, B, B, G, D, D, B, G, D, D, D, G, H, G, B, H, B, H]
859:[G, B, B, B, B, G, D, D, B, G, D, D, D, G, H, D, B, H, B, H]
854:[G, G, D, B, B, H, G, H, D, H, G, D, D, D, D, G, B, H, B, G]
91:[B, B, D, B, H, B, D, H, H, B, G, B, D, G, H, G, D, D, G, H]
92:[B, B, D, B, H, B, D, G, H, D, G, B, H, G, H, G, G, D, G, H]
93:[D, G, G, B, H, G, H, B, G, B, H, B, B, H, B, H, B, D, D, G]
104:[B, G, G, B, H, H, D, B, H, B, D, G, G, B, H, B, H, D, G, H]
110:[G, B, H, H, D, D, D, B, H, B, B, G, D, G, D, B, G, D, H, B]
746:[H, H, G, B, H, H, G, G, G, D, D, B, H, D, D, G, G, D, B, D]
850:[B, D, B, D, G, D, G, B, H, B, H, D, H, H, B, B, G, H, G, B]
671:[B, D, H, D, G, B, H, G, D, G, B, H, D, G, D, H, B, D, B, G]
197:[B, D, H, D, G, B, H, G, D, G, B, H, D, G, B, H, B, D, B, G]
222:[G, B, H, H, D, D, D, B, H, B, B, H, H, G, D, B, G, D, H, B]
114:[H, D, D, B, B, H, H, B, G, H, D, B, B, H, G, G, H, D, G, D]
122:[D, H, G, G, D, D, G, D, D, B, H, G, G, G, D, G, G, D, B, H]
124:[H, G, D, B, G, B, H, H, B, H, B, B, H, D, D, D, B, H, H, B]
128:[H, G, D, B, G, H, B, H, B, H, B, B, H, D, D, D, B, H, H, B]
152:[B, D, H, D, D, B, B, H, G, H, G, H, B, D, B, G, G, B, B, G]
681:[B, D, D, B, H, H, G, G, B, B, H, D, B, H, D, H, G, H, B, G]
563:[H, H, G, D, H, B, D, B, D, B, H, G, B, H, G, H, H, B, D, B]
154:[B, D, D, B, B, G, D, G, H, D, G, H, D, G, G, B, H, D, G, G]
795:[H, B, H, G, G, D, B, B, H, G, B, D, B, D, G, B, H, H, H, D]
340:[B, B, G, B, B, H, G, D, G, D, D, H, D, B, G, B, H, G, B, D]
112:[G, G, B, B, D, D, H, D, B, B, H, H, B, H, H, G, B, B, D, D]
675:[B, G, G, G, G, D, B, B, H, D, B, D, D, H, G, B, H, H, H, B]
162:[B, B, G, H, B, B, H, G, D, H, H, G, D, B, B, B, H, H, D, G]
805:[H, B, G, H, G, B, D, G, B, B, D, H, B, D, G, H, B, D, G, H]
472:[B, G, B, G, D, B, G, H, D, G, H, D, B, G, H, H, B, H, H, D]
170:[B, G, G, B, D, B, G, H, H, H, D, B, G, H, D, B, D, D, G, B]
178:[H, D, G, G, G, D, B, G, D, B, B, H, B, B, H, B, H, D, G, B]
185:[G, B, G, D, B, D, B, D, B, G, H, G, D, G, G, D, H, H, G, D]
190:[G, D, G, D, B, D, B, D, B, G, H, G, D, G, G, B, H, H, G, D]
204:[D, H, B, G, D, D, B, H, H, G, D, G, G, G, D, D, G, G, G, D]
218:[D, H, D, G, G, G, B, H, G, D, B, H, G, D, B, G, D, B, G, D]
232:[G, H, G, D, G, D, D, G, G, D, G, D, B, H, B, D, G, H, G, D]
245:[G, D, B, B, H, G, B, B, H, G, H, H, D, D, G, B, B, H, B, B]
449:[G, D, G, D, D, B, D, H, H, B, B, B, G, G, H, G, B, H, H, H]
874:[B, B, H, B, G, H, D, H, G, B, G, B, D, H, G, B, D, D, H, B]
514:[H, D, D, B, D, G, D, B, H, G, B, B, H, G, H, G, G, H, D, B]
630:[D, D, G, G, B, D, B, D, G, G, G, D, H, D, D, B, H, G, G, G]
313:[D, D, G, G, B, D, B, D, G, G, G, D, G, D, D, B, H, G, G, G]
194:[G, G, D, D, B, H, D, B, D, G, B, H, G, D, B, H, G, B, G, B]
192:[B, D, D, G, B, B, H, G, G, D, G, G, D, D, G, H, B, H, H, B]
876:[D, D, B, G, H, B, H, B, G, H, B, G, H, H, B, H, G, B, D, D]
452:[D, B, H, G, B, D, G, D, G, G, G, B, D, H, G, D, D, D, B, D]
674:[H, D, B, H, B, G, G, G, H, D, D, D, G, D, B, D, H, G, B, H]
727:[B, B, D, G, H, B, H, H, B, G, H, B, B, D, H, H, B, H, G, B]
533:[B, H, G, G, D, G, B, D, D, G, G, B, D, D, D, D, H, H, G, B]
900:[G, D, B, B, H, D, G, D, G, D, G, D, B, H, D, H, B, B, H, H]
450:[G, B, B, B, G, D, G, B, G, D, G, H, B, H, H, H, B, B, D, H]
365:[H, D, G, D, G, B, G, B, B, G, B, D, H, H, G, H, H, D, B, D]
94:[B, B, D, D, H, G, G, G, B, D, H, H, B, B, H, B, D, G, H, B]
166:[G, H, G, B, G, D, D, G, B, D, G, D, B, D, B, D, G, H, G, D]
972:[D, B, H, D, D, G, G, B, G, D, G, G, D, B, H, H, B, H, B, B]
165:[D, H, G, B, H, D, G, D, G, D, B, G, D, D, B, B, H, B, B, G]
258:[H, D, B, B, B, H, H, G, H, B, D, H, D, B, G, G, D, G, G, G]
299:[G, H, B, G, D, H, B, D, G, H, D, D, B, D, B, H, H, B, G, B]
332:[G, H, D, B, G, G, H, G, H, B, H, D, B, H, G, D, G, B, H, B]
351:[G, G, D, D, B, D, D, H, G, B, G, G, D, B, G, H, G, H, H, B]
336:[H, D, D, B, G, D, B, G, B, G, D, H, D, H, G, D, B, B, G, G]
214:[H, G, D, G, G, B, D, G, D, D, D, B, H, D, H, B, B, H, G, H]
151:[H, G, B, H, B, H, B, B, H, G, B, D, G, D, B, G, B, D, H, B]
448:[B, D, B, D, B, H, B, H, G, B, H, H, G, H, G, D, G, H, G, B]
367:[G, D, H, D, H, G, D, D, D, G, D, G, D, B, H, B, G, D, B, G]
371:[G, D, G, D, H, G, D, D, D, G, D, G, D, B, H, B, G, D, B, G]
380:[G, G, D, D, G, B, D, G, G, H, D, D, B, H, D, B, G, H, G, D]
381:[G, G, D, D, G, B, D, G, G, H, D, D, B, H, D, B, G, H, G, G]
389:[D, H, D, G, G, D, G, G, D, B, D, D, G, D, G, G, D, G, G, D]
399:[D, B, D, G, B, H, G, B, G, H, B, D, D, B, D, H, G, H, B, G]
410:[B, G, G, B, H, D, G, B, B, H, D, D, H, D, H, D, G, H, D, B]
416:[G, D, B, B, D, G, G, D, H, B, H, D, B, G, D, G, D, D, H, G]
418:[G, B, G, B, B, D, H, H, B, G, D, B, D, H, B, D, D, H, H, H]
78:[B, G, D, D, D, B, B, H, D, G, G, H, H, B, B, H, D, B, D, B]
818:[H, D, G, D, G, B, G, B, B, G, D, D, G, B, G, H, H, D, B, D]
26:[B, B, B, D, D, G, H, B, B, D, H, G, D, H, B, H, G, H, D, B]
45:[D, B, D, B, B, H, G, B, G, G, H, B, G, D, G, H, D, D, G, G]
431:[G, D, G, B, H, D, B, B, D, B, D, G, H, H, H, B, H, H, B, B]
444:[G, D, H, B, H, D, B, D, H, G, B, H, D, B, G, H, B, D, B, H]
413:[G, H, B, G, D, B, B, H, B, H, G, D, D, D, G, B, H, D, D, B]
529:[H, G, D, G, D, D, G, G, D, G, G, B, B, D, G, D, G, B, H, B]
986:[D, H, D, B, G, H, B, G, H, B, H, D, G, B, D, G, H, G, D, G]
206:[D, G, D, D, G, B, G, G, H, B, G, H, D, D, D, B, G, D, G, H]
37:[D, G, B, H, G, B, B, H, B, D, H, H, B, D, D, H, G, G, G, G]
755:[D, B, G, B, D, D, H, H, D, B, B, B, G, H, B, H, G, G, D, G]
385:[D, B, G, B, D, D, H, H, D, B, B, B, G, H, H, H, G, G, D, G]
353:[G, G, D, H, H, B, G, B, D, B, D, G, D, H, D, H, G, B, D, B]
466:[G, G, H, B, D, G, B, H, D, D, H, G, G, D, D, D, B, H, G, B]
469:[G, G, H, B, D, G, B, B, D, D, H, G, G, H, D, D, B, H, G, B]
479:[G, G, B, H, B, H, H, D, G, B, D, G, D, G, H, B, D, D, B, G]
488:[H, G, G, B, D, G, H, B, H, B, B, H, B, D, B, H, G, H, H, B]
496:[H, G, G, D, D, D, G, D, D, B, H, B, G, D, B, H, B, H, B, H]
527:[G, H, B, B, B, H, B, H, B, G, B, D, G, H, H, D, D, D, D, H]
545:[D, B, H, H, G, B, D, D, H, B, B, B, G, B, D, G, D, G, D, H]
559:[D, H, B, H, B, H, D, G, B, B, B, D, H, B, H, B, G, H, G, G]
511:[D, G, B, H, B, H, D, B, H, G, G, D, B, D, D, B, B, G, H, H]
115:[D, G, D, H, D, B, G, H, G, B, H, D, B, H, B, B, D, G, B, H]
952:[B, H, G, G, D, G, B, D, G, D, G, B, D, D, D, D, H, H, G, B]
109:[G, H, B, D, D, B, G, H, B, H, G, D, D, G, G, B, H, D, D, B]
20:[B, D, G, G, D, G, G, B, H, D, B, D, D, H, G, B, H, B, H, H]
144:[D, D, B, G, B, B, G, H, D, B, D, G, D, G, D, H, G, G, D, B]
103:[G, G, D, D, G, G, H, D, B, H, D, B, H, B, D, B, H, B, B, D]
451:[H, B, D, H, G, G, G, B, D, D, G, D, G, H, B, G, B, H, B, D]
293:[D, D, G, G, G, D, G, B, G, D, H, D, B, H, D, D, B, B, H, H]
462:[H, D, B, G, G, D, G, B, B, G, D, D, D, H, D, G, H, D, H, B]
52:[D, H, B, D, B, G, G, B, H, H, G, G, H, B, D, D, B, H, D, B]
503:[B, D, G, D, G, B, D, G, H, D, B, H, D, B, G, B, H, H, G, G]
30:[H, G, D, B, H, D, G, G, G, D, D, B, H, D, D, B, G, B, B, D]
991:[D, G, B, H, G, B, H, G, B, H, B, B, H, D, B, G, H, H, D, H]
899:[H, B, H, G, D, G, D, B, H, G, D, B, D, D, G, G, H, D, G, D]
331:[H, B, H, G, D, G, D, B, H, G, D, B, D, D, H, G, G, D, G, D]
598:[H, B, G, D, H, G, D, G, D, B, H, G, D, B, H, G, G, B, H, D]
601:[G, H, D, G, B, D, G, D, G, H, G, D, B, G, D, G, H, B, B, B]
628:[G, B, G, B, B, H, D, B, D, H, D, H, B, H, B, G, D, G, D, G]
631:[D, D, B, B, B, H, B, H, G, D, H, G, B, D, G, G, B, G, G, H]
649:[H, D, D, G, G, D, D, G, H, G, B, D, D, H, B, B, B, H, G, H]
269:[G, H, B, B, B, G, D, D, D, B, G, G, G, D, D, D, D, H, G, H]
677:[D, B, G, B, D, G, G, G, H, D, D, D, B, G, D, G, D, H, H, G]
344:[D, H, B, D, B, H, H, B, G, B, H, B, G, G, G, B, B, H, D, G]
929:[H, D, G, G, B, G, D, B, B, G, D, H, H, B, G, H, H, D, B, D]
977:[B, D, D, G, G, G, B, H, G, D, B, D, D, G, G, B, H, H, H, B]
554:[B, B, G, H, G, D, D, G, B, D, D, H, H, B, G, G, D, B, H, G]
870:[G, G, D, H, H, B, G, H, D, B, D, B, D, H, H, D, B, B, H, B]
288:[H, D, D, G, D, D, D, G, H, G, B, D, D, H, B, B, B, H, G, H]
298:[B, D, D, G, G, D, D, G, H, G, B, H, D, H, B, B, B, H, D, H]
51:[D, H, G, B, B, H, D, H, H, D, B, G, G, D, G, D, G, D, H, B]
440:[D, G, B, H, B, D, D, G, B, H, G, H, G, G, H, D, G, B, H, D]
825:[G, H, B, B, D, D, H, D, G, H, D, B, G, G, B, B, H, B, G, D]
849:[B, B, H, G, H, H, G, B, H, B, B, H, H, B, H, B, B, B, B, H]
657:[G, H, B, G, D, G, B, D, H, B, G, B, D, B, D, H, B, G, G, D]
667:[H, B, H, G, G, D, D, D, G, D, B, D, B, B, B, H, G, G, D, B]
691:[H, B, D, H, G, D, D, G, B, G, H, D, G, B, D, G, D, G, D, G]
708:[G, H, B, B, B, G, D, B, G, H, H, D, D, H, D, G, D, H, D, B]
199:[B, H, G, B, G, B, H, H, D, G, H, B, B, B, D, G, D, D, H, D]
798:[G, B, D, D, D, H, B, H, G, D, G, D, B, H, G, G, B, G, G, D]
868:[G, D, D, G, D, B, D, G, G, D, H, B, G, D, G, G, G, B, D, D]
682:[G, D, D, G, D, B, D, G, G, D, H, B, G, D, D, G, G, B, D, D]
656:[D, H, G, D, G, B, D, B, D, B, H, H, G, H, G, B, G, B, H, D]
608:[B, B, G, D, G, H, D, D, D, B, H, B, H, H, B, G, G, D, H, D]
730:[H, G, B, B, G, B, H, B, H, B, H, D, G, B, B, H, D, G, B, H]
879:[B, D, D, B, G, H, G, G, B, D, H, D, B, H, D, H, H, B, H, G]
720:[D, G, B, D, B, H, G, B, H, G, H, D, G, D, B, G, H, H, G, B]
535:[D, G, B, H, B, D, H, G, B, B, D, B, H, D, G, G, H, H, B, H]
212:[G, H, B, G, B, B, D, H, B, H, G, D, D, G, G, B, H, D, D, B]
905:[G, D, G, G, G, B, D, B, B, G, H, D, H, D, D, H, H, D, B, B]
833:[B, H, G, B, G, B, H, B, H, B, H, B, H, B, D, G, D, D, H, D]
729:[G, B, G, H, D, D, D, H, B, B, G, D, B, H, G, G, H, G, D, D]
732:[D, B, B, D, H, B, H, D, D, H, B, B, B, G, D, H, H, G, B, B]
482:[B, G, H, D, G, G, D, G, D, B, B, B, H, G, B, H, D, D, G, H]
749:[D, H, B, H, B, H, B, D, H, B, G, H, G, B, H, G, B, D, D, H]
762:[D, H, B, G, B, H, B, D, H, B, G, H, G, B, H, G, B, D, D, H]
766:[D, B, B, H, G, D, D, B, H, H, G, G, B, H, G, B, G, B, D, H]
785:[B, D, D, G, B, G, H, D, G, D, G, D, H, B, D, H, H, B, H, B]
430:[B, H, B, D, G, G, H, G, D, B, H, B, D, D, H, D, G, H, B, G]
747:[B, G, D, H, B, G, G, B, D, G, H, D, B, H, B, H, D, D, G, B]
764:[G, B, G, D, H, D, D, D, G, D, H, B, B, H, G, G, B, G, H, D]
255:[G, B, G, D, H, D, D, D, G, D, H, B, B, H, H, G, B, G, H, D]
297:[H, B, B, H, B, G, G, G, G, H, D, D, B, B, G, D, D, D, B, H]
736:[H, B, D, D, G, H, B, G, H, G, B, D, H, B, D, D, B, G, B, H]
155:[H, B, D, D, G, D, B, G, H, G, G, D, H, B, D, D, B, G, B, H]
822:[G, D, H, B, G, G, H, D, D, G, D, G, G, D, D, B, G, G, D, G]
823:[H, G, G, D, D, D, B, H, D, B, H, B, G, H, G, D, B, B, H, D]
834:[H, G, G, D, D, G, B, H, D, B, H, B, G, H, G, D, G, B, H, D]
835:[H, B, H, D, G, B, G, B, H, B, G, D, H, H, G, B, H, B, H, B]
841:[H, B, H, D, G, B, G, B, H, B, G, D, H, H, G, B, H, B, H, D]
174:[B, H, G, G, H, B, H, H, D, B, B, D, G, B, D, D, H, G, H, D]
354:[B, H, D, H, D, D, B, D, B, H, B, G, B, D, B, H, H, G, H, D]
887:[B, H, G, H, B, G, B, G, H, D, G, D, D, B, H, B, G, B, H, G]
930:[B, H, H, D, G, G, G, G, D, B, B, H, G, D, B, D, D, D, G, B]
589:[G, G, H, H, D, B, D, B, G, D, B, H, H, B, H, B, G, B, B, H]
796:[H, B, B, B, H, G, G, G, B, B, D, H, H, G, D, D, B, D, H, H]
960:[D, H, G, H, B, B, H, G, B, H, H, G, D, B, B, B, H, B, D, G]
753:[H, D, G, H, B, D, G, G, D, G, B, D, H, H, B, B, G, H, G, D]
721:[D, H, D, H, G, B, H, G, B, G, B, H, B, H, D, G, G, D, G, D]
476:[B, D, D, D, G, H, D, B, H, G, H, G, G, D, B, B, B, H, B, G]
95:[H, D, G, B, D, H, D, D, B, G, G, D, D, H, B, H, G, G, B, H]
627:[B, B, B, B, G, G, D, B, H, H, G, D, H, B, D, D, H, B, H, B]
345:[H, B, B, B, G, G, G, G, D, D, G, D, G, G, D, H, D, G, B, B]
358:[B, B, G, D, H, B, B, B, G, H, G, B, H, D, D, D, G, B, H, G]
311:[H, B, G, G, H, D, G, G, B, B, D, H, D, G, G, B, B, D, D, G]
135:[B, H, G, H, B, G, B, G, H, D, G, D, D, B, H, B, G, B, H, G]
437:[H, G, D, D, D, G, H, H, B, D, G, B, H, D, G, G, G, G, H, D]
645:[B, B, H, D, G, G, G, G, D, B, B, H, H, D, D, H, D, G, G, B]
25:[H, G, B, D, D, H, G, H, B, D, G, D, B, D, B, H, B, G, G, D]
459:[B, H, G, D, B, B, B, B, H, G, G, D, B, D, H, H, B, D, G, D]
454:[H, B, G, B, B, G, H, G, H, D, B, H, H, B, G, H, B, D, H, G]
447:[B, D, H, G, D, H, D, H, B, G, G, G, H, B, B, G, D, G, D, G]
388:[H, D, G, G, D, D, D, D, B, G, G, G, H, D, D, B, B, B, H, H]
619:[B, H, H, G, G, G, D, H, G, D, B, B, G, D, G, H, D, H, G, D]
445:[H, G, B, B, B, B, D, B, D, H, B, G, D, H, D, G, D, G, D, G]
759:[H, G, G, H, D, D, G, D, G, B, B, G, B, B, D, G, D, D, H, G]
580:[H, B, B, H, D, H, D, H, G, B, G, G, G, D, G, D, B, H, G, D]
230:[D, G, H, D, D, G, D, D, G, B, G, G, G, B, D, B, H, G, D, G]
947:[D, G, H, H, B, H, D, G, B, B, D, B, G, G, B, H, H, H, B, H]
659:[H, G, G, H, D, D, G, D, G, B, B, G, B, B, D, G, D, D, H, G]
208:[H, G, D, D, D, B, H, D, G, D, G, B, H, B, D, G, D, H, G, G]
676:[H, B, H, H, G, B, G, D, D, D, B, G, H, B, B, G, G, D, G, D]
552:[D, G, H, H, B, B, G, B, H, H, B, B, H, B, D, H, H, B, D, D]
168:[B, H, H, G, G, G, D, H, G, D, B, B, G, D, H, B, H, H, G, D]
594:[B, B, G, H, B, G, H, G, B, H, H, H, B, B, D, B, H, B, D, H]
57:[G, G, B, G, D, B, H, D, H, B, B, H, D, G, B, D, B, H, H, G]
556:[D, H, B, G, G, B, G, G, B, H, H, B, B, D, D, G, G, H, B, H]
306:[H, G, D, H, D, G, B, B, G, G, D, H, H, B, D, D, B, H, H, B]
597:[D, H, B, G, G, B, G, G, B, H, H, B, B, D, D, D, H, H, B, B]
750:[H, B, B, H, D, H, G, H, G, G, B, H, D, B, B, D, D, G, G, H]
420:[G, D, H, G, G, B, H, G, B, H, B, D, H, B, D, G, B, H, B, B]
210:[H, B, H, H, G, B, H, H, B, B, B, H, B, D, G, H, B, G, D, H]
894:[D, H, G, D, B, D, D, D, H, B, H, B, H, G, G, G, G, B, H, D]
949:[D, D, B, D, G, B, G, G, D, H, H, B, H, B, G, B, D, D, H, D]
369:[H, H, G, H, B, H, D, G, B, B, G, D, D, G, G, B, D, H, H, B]
815:[H, G, G, B, B, H, H, H, D, B, H, G, B, H, D, B, H, B, H, G]
169:[B, D, H, B, B, G, B, B, H, G, G, D, H, G, H, B, B, B, H, H]
