c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, G, B, H, G, G, B, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, H, B, G, H, H, D, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, G, D, D, G, D, B, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, B, H, G, B, D, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, H, B, H, H, H, D, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, H, H, D, H, H, D, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, B, D, H, G, D, H, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, D, H, D, B, B, D, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, B, B, G, D, G, B, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, B, H, D, G, B, D, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, B, D, B, B, G, H, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, B, D, B, H, D, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, B, B, D, B, G, D, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, B, G, D, G, D, H, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, H, B, D, G, D, D, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, D, G, H, H, H, G, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, H, H, H, D, G, D, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, B, D, H, H, H, D, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, H, G, B, B, G, H, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, D, D, B, B, H, H, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, H, H, D, G, D, B, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, H, G, H, H, G, H, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, G, H, H, G, D, D, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, B, D, B, H, G, B, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, G, D, B, B, D, G, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, G, H, H, B, G, G, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, H, D, D, D, D, H, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, G, H, D, H, H, B, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, D, G, B, B, G, H, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, B, G, D, D, G, H, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, B, D, B, B, G, H, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, G, B, G, H, H, G, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, D, G, G, D, H, H, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, G, B, H, D, D, D, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, D, G, B, H, B, B, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, G, G, H, D, H, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, H, H, D, D, D, D, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, G, B, G, B, D, D, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, G, B, G, G, H, B, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, D, B, D, D, H, G, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, D, G, G, G, B, G, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, G, H, G, H, H, B, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, H, G, H, B, B, H, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, G, H, H, H, H, D, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, D, B, B, B, D, D, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, D, B, B, H, D, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, D, D, B, B, H, D, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, H, H, G, B, H, H, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, H, H, G, B, H, H, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, G, B, D, B, G, H, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, B, H, G, G, D, D, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, D, D, B, B, G, H, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, G, D, B, B, H, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, H, D, H, B, G, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, B, G, G, G, H, H, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, D, G, B, B, G, H, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, B, H, B, B, H, D, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, B, H, G, H, D, D, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, H, G, D, H, H, D, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, D, G, B, H, B, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, B, D, D, B, B, G, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, D, B, D, G, G, B, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, H, G, D, B, D, D, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, H, G, G, D, D, H, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, B, G, D, D, D, D, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, H, H, D, D, H, D, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, G, G, H, D, B, B, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, G, H, D, D, H, H, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, B, B, D, H, H, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, G, D, H, B, G, H, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, D, B, G, B, H, G, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, D, G, G, G, G, B, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, D, G, G, G, G, B, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, B, D, D, H, G, H, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, H, B, D, H, G, H, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, G, D, H, D, D, D, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, G, H, G, D, B, B, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, D, B, D, B, B, H, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, D, B, D, B, D, D, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, B, G, D, H, D, D, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, H, B, D, D, B, G, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, D, D, D, G, B, D, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, G, D, D, G, B, D, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, D, D, B, B, G, G, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, B, B, G, G, B, B, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, G, H, B, D, G, D, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, H, D, D, G, B, D, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, D, B, B, H, G, D, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, B, D, G, D, B, H, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, G, B, D, D, H, H, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, H, B, B, H, D, B, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, D, D, H, H, H, G, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, D, B, G, B, B, B, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, B, B, G, G, B, G, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, G, D, D, B, B, D, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, D, B, D, G, B, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, G, B, G, G, D, G, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, G, G, H, B, H, B, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, B, B, D, H, B, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, B, B, D, D, B, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, D, B, B, D, D, H, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, H, D, G, B, H, D, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, B, H, H, G, G, G, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, H, D, G, D, G, D, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, H, G, D, H, B, D, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, G, B, H, G, G, B, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, D, B, G, B, D, D, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, B, G, G, B, G, H, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, H, D, G, B, B, B, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, B, D, D, H, B, B, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, B, H, G, B, D, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, H, D, D, D, B, H, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, D, G, B, B, D, D, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, D, H, H, D, D, D, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, B, G, B, G, B, D, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, H, B, B, D, B, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, D, H, H, G, H, G, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, H, H, H, B, H, D, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, H, G, H, B, B, H, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, G, H, G, H, D, D, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, B, H, D, B, G, G, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, G, D, G, B, H, H, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, D, D, B, B, B, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, D, D, D, B, H, D, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, B, B, D, H, H, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, D, B, D, D, H, D, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, H, G, D, H, D, D, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, B, D, G, B, H, H, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, G, G, H, H, G, D, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, H, H, H, B, H, G, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, H, H, H, D, B, B, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, H, H, H, D, B, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, D, G, G, G, B, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, D, B, G, G, D, B, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, B, G, B, B, D, H, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, H, B, H, H, H, H, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, H, B, H, H, B, H, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, B, H, B, B, B, B, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, D, B, G, G, B, B, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, D, B, G, D, G, B, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, G, H, G, G, H, B, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, B, H, H, G, D, B, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, G, G, G, D, B, G, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, B, G, H, G, H, B, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, D, H, G, H, H, D, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, H, H, G, B, B, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, D, B, B, H, D, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, D, D, B, B, H, D, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, H, G, G, B, B, B, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, H, G, G, H, B, B, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, H, G, B, G, B, B, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, D, H, B, B, D, B, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, B, H, G, B, D, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, D, G, D, D, D, D, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, H, G, D, D, D, H, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, H, H, B, H, B, H, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, H, D, B, G, B, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, D, H, D, H, H, H, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, H, H, D, G, H, B, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, D, H, G, H, D, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, B, B, D, H, D, B, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, B, G, B, D, H, D, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, H, D, B, D, H, D, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, H, D, G, B, D, H, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, G, B, D, B, D, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, H, B, D, H, D, D, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, B, H, B, G, D, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, G, B, D, H, G, B, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, D, B, B, D, G, D, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, G, H, H, H, G, D, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, H, G, H, B, D, G, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, B, D, B, H, H, H, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, B, H, D, D, G, D, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, B, H, H, B, H, D, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, H, H, B, H, H, D, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, H, D, B, H, H, D, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, H, B, G, G, H, H, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, G, D, B, G, D, B, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, G, D, B, H, G, B, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, D, H, G, B, D, D, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, B, G, G, B, D, D, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, B, G, G, B, D, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, G, B, D, B, H, D, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, B, B, G, B, G, B, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, H, G, G, B, G, G, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, H, D, D, H, G, H, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, D, G, D, H, D, H, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, G, G, B, B, G, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, H, D, G, D, H, G, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, H, B, G, D, H, G, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, H, B, G, G, D, B, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, H, B, B, D, G, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, B, B, D, D, G, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, H, D, H, G, G, G, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, B, H, B, G, D, B, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, B, H, G, D, G, B, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, H, D, H, D, B, G, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, G, H, D, B, D, H, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, G, H, D, B, G, D, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, D, H, D, D, G, H, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, H, G, H, D, H, B, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, H, H, H, D, H, B, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, B, G, B, B, D, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, B, G, G, B, H, D, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, H, G, D, H, D, H, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, G, G, G, D, B, G, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, G, D, D, H, G, D, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, G, D, B, B, H, D, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, D, G, B, D, B, H, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, H, D, H, H, H, B, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, H, D, H, H, H, B, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, D, H, B, H, B, G, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, G, B, H, B, D, H, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, H, B, G, B, G, H, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, B, D, H, D, G, H, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, D, G, D, H, G, D, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, D, G, G, D, B, D, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, B, D, B, D, D, B, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, H, G, D, B, H, B, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, H, B, D, G, G, B, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, B, D, B, B, H, B, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, H, G, B, D, B, B, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, B, B, B, B, G, D, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, B, D, D, G, G, G, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, G, G, G, B, H, G, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, H, H, B, G, B, G, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, G, G, H, H, H, B, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, G, G, B, D, B, H, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, B, G, G, B, G, D, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, D, H, D, H, G, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, B, D, B, G, D, D, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, G, G, G, H, D, H, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, G, D, G, G, H, D, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, G, B, G, B, H, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, B, D, B, B, B, G, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, B, D, D, G, G, H, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, G, B, B, B, D, B, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, H, B, D, G, D, B, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, D, G, D, B, G, G, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, H, H, D, G, G, D, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, H, D, B, G, G, G, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, B, D, D, H, G, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, G, H, D, D, D, H, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, D, B, B, H, D, B, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, G, D, D, G, H, G, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, G, D, G, G, H, G, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, H, B, D, H, G, B, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, B, D, H, H, H, H, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, D, B, G, D, H, B, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, G, D, D, G, H, H, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, H, H, D, H, D, G, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, B, H, D, H, G, B, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, G, D, D, H, B, H, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, D, G, G, B, D, B, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, H, H, B, G, G, D, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, H, B, B, B, G, G, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, B, H, B, B, G, G, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, H, B, G, G, B, G, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, B, H, D, B, D, B, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, B, D, D, B, H, G, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, D, D, H, H, H, G, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, H, B, B, H, H, G, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, H, B, B, H, H, H, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, D, G, D, G, D, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, D, H, D, G, D, G, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, D, H, D, G, D, B, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, G, H, G, H, G, G, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, D, G, D, G, D, B, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, H, G, D, G, D, D, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, H, G, G, G, G, G, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, B, D, D, B, H, B, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, B, H, D, D, D, H, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, G, D, H, D, B, G, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, B, B, G, G, G, G, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, G, H, D, G, H, H, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, H, B, D, H, H, H, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, B, H, D, H, H, B, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, B, G, G, H, B, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, H, G, D, G, G, G, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, D, H, H, B, G, B, B, H]
